Step 	Gauss' Law 		Energy			Poynting Vector (Scaled)
83		-0.00056974		4095.08			1.000000x^ + 0.022144y^ + -0.006426z^
84		-0.00056974		4087.7			-1.000000x^ + 0.024880y^ + -0.000931z^
85		-0.00056974		4094.06			-1.000000x^ + 0.011165y^ + 0.017163z^
86		-0.00056974		4111.05			1.000000x^ + -0.014030y^ + 0.006125z^
87		-0.00056974		4114.11			1.000000x^ + -0.061593y^ + -0.007872z^
88		-0.00056974		4108.81			-1.000000x^ + -0.026450y^ + -0.009196z^
89		-0.00056974		4115.92			1.000000x^ + 0.015245y^ + 0.011915z^
90		-0.00056974		4134.34			1.000000x^ + 0.015916y^ + 0.011838z^
91		-0.00056974		4138.24			1.000000x^ + 0.029751y^ + 0.016904z^
92		-0.00056974		4133.82			-1.000000x^ + 0.061240y^ + 0.020765z^
93		-0.00056974		4140.5			-1.000000x^ + 0.014957y^ + 0.001641z^
94		-0.00056974		4160.43			1.000000x^ + -0.011886y^ + -0.004851z^
95		-0.00056974		4164.05			1.000000x^ + -0.022315y^ + -0.002837z^
96		-0.00056974		4156.91			-1.000000x^ + -0.041534y^ + -0.005266z^
97		-0.00056974		4163.57			-1.000000x^ + -0.012555y^ + -0.005809z^
98		-0.00056974		4184.91			1.000000x^ + 0.011910y^ + -0.081546z^
99		-0.00056974		4187.01			1.000000x^ + 0.024811y^ + -0.017208z^
100		-0.00056974		4178.66			-1.000000x^ + 0.026244y^ + -0.006176z^
